word	file	lines
AnVIL	index.Rmd	2,23
Bachman	About.Rmd	35
Bachman	About.md	35
Bachman	About.md	35
Bachman	About.md	35
BIPOC	index.Rmd	25
bookdown	README.md	3
Calendly	09-user_feedback.Rmd	93
Calendly	09-user_feedback.md	87
Calendly	09-user_feedback.md	87
Calendly	09-user_feedback.md	87
chapt	1-Introduction.md	3
chapt	10-Other-helpful-features.md	3
chapt	11-How-to-keep-your-documentation-up-to-date.md	3
chapt	2-Documentation	-Why-it’s-worth-the-effort!.md
chapt	3-Lessons-we-should-borrow-from-user-designers.md	3
chapt	4-What-does-good-documentation-look-like?.md	3
chapt	5-Creating-a-smooth-getting-started-section.md	3
chapt	6-Creating-helpful-how-to-examples.md	3
chapt	7-Creating-handy-reference-guides.md	3
chapt	8-Creating-clarifying-code-comments.md	3
chapt	9-Obtaining-user-feedback.md	3
chapt	About-the-Authors.md	3
chapt	About-this-course.md	3
chapt	References.md	3
DataTrail	index.Rmd	23,23,25,27,29,32
Deepa	About.Rmd	20
Deepa	About.md	20
Deepa	About.md	20
Deepa	About.md	20
Fallon	About.Rmd	35
Fallon	About.md	35
Fallon	About.md	35
Fallon	About.md	35
faq	code_of_conduct.md	123
FHDaSL	index.Rmd	2
Funder	About.Rmd	34
Funder	About.md	34
Funder	About.md	34
Funder	About.md	34
GDSCN	index.Rmd	2,23
Gooding	About.Rmd	23,24
Gooding	About.md	23,24
Gooding	About.md	23,24
Gooding	About.md	23,24
iframe	1-Introduction.md	3
iframe	10-Other-helpful-features.md	3
iframe	11-How-to-keep-your-documentation-up-to-date.md	3
iframe	2-Documentation	-Why-it’s-worth-the-effort!.md
iframe	3-Lessons-we-should-borrow-from-user-designers.md	3
iframe	4-What-does-good-documentation-look-like?.md	3
iframe	5-Creating-a-smooth-getting-started-section.md	3
iframe	6-Creating-helpful-how-to-examples.md	3
iframe	7-Creating-handy-reference-guides.md	3
iframe	8-Creating-clarifying-code-comments.md	3
iframe	9-Obtaining-user-feedback.md	3
iframe	About-the-Authors.md	3
iframe	About-this-course.md	3
iframe	References.md	3
impactful	index.Rmd	36
Leanbuild	About.md	30
LinkedIn	09-user_feedback.Rmd	91
LinkedIn	09-user_feedback.md	85
LinkedIn	09-user_feedback.md	85
LinkedIn	09-user_feedback.md	85
md	README.md	14
mentorship	index.Rmd	36
Muschelli	About.Rmd	30
Muschelli	About.md	30
Muschelli	About.md	30
Muschelli	About.md	30
NHGRI	index.Rmd	23
ottrpal	About.Rmd	30
ottrpal	About.md	30
ottrpal	About.md	30
outsized	README.md	18
png	1-Introduction.md	3
png	10-Other-helpful-features.md	3
png	11-How-to-keep-your-documentation-up-to-date.md	3
png	2-Documentation	-Why-it’s-worth-the-effort!.md
png	3-Lessons-we-should-borrow-from-user-designers.md	3
png	4-What-does-good-documentation-look-like?.md	3
png	5-Creating-a-smooth-getting-started-section.md	3
png	6-Creating-helpful-how-to-examples.md	3
png	7-Creating-handy-reference-guides.md	3
png	8-Creating-clarifying-code-comments.md	3
png	9-Obtaining-user-feedback.md	3
png	About-the-Authors.md	3
png	About-this-course.md	3
png	References.md	3
Prasad	About.Rmd	20
Prasad	About.md	20
Prasad	About.md	20
Prasad	About.md	20
preprint	index.Rmd	23
sexualized	code_of_conduct.md	30
socio	code_of_conduct.md	6
underserved	index.Rmd	23
Voeglein	About.Rmd	35
Voeglein	About.md	35
Voeglein	About.md	35
Voeglein	About.md	35
Wheelan	About.Rmd	18,19
Wheelan	About.md	18,19
Wheelan	About.md	18,19
Wheelan	About.md	18,19
